"Year","Day","Hour_Minute","Seconds","BattV","SC","Cond_uncorr","Temp"
2015,191,1552,10,12.8,1592.4,1448.5,20.482
2015,191,1552,12,12.81,1591.9,1447.7,20.47
2015,191,1552,14,12.81,1590.2,1446.9,20.493
2015,191,1552,16,12.8,1590.2,1446.9,20.493
2015,191,1552,18,12.8,1589.8,1446.1,20.482
2015,191,1552,20,12.81,1581.8,1438.8,20.482
2015,191,1552,22,12.8,1580.9,1438,20.482
2015,191,1552,24,12.81,1587.1,1443.7,20.482
2015,191,1552,26,12.81,1586.2,1442.9,20.482
2015,191,1552,28,12.81,1586.2,1442.9,20.482
2015,191,1552,30,12.8,1585.3,1442.1,20.482
2015,191,1552,32,12.8,1585.3,1442.1,20.482
2015,191,1552,34,12.8,1583.9,1440.4,20.47
2015,191,1552,36,12.81,1582.3,1439.6,20.493
2015,191,1552,38,12.81,1583.1,1439.6,20.47
2015,191,1552,40,12.8,1581.8,1438.8,20.482
2015,191,1552,42,12.8,1580.9,1438,20.482
2015,191,1552,44,12.8,1580.9,1438,20.482
2015,191,1552,46,12.8,1580.5,1438,20.493
2015,191,1552,48,12.81,1578.7,1436.4,20.493
2015,191,1552,50,12.8,1579.1,1436.4,20.482
2015,191,1552,52,12.8,1579,1435.6,20.459
2015,191,1552,54,12.8,1578.6,1435.6,20.47
2015,191,1552,56,12.8,1577,1434.8,20.493
2015,191,1552,58,12.8,1577,1434.8,20.493
2015,191,1553,0,12.81,1576.5,1434,20.482
2015,191,1553,2,12.8,1569.4,1427.6,20.482
2015,191,1553,4,12.8,1569.4,1427.6,20.482
2015,191,1553,6,12.8,1568.5,1426.8,20.482
2015,191,1553,8,12.8,1575.6,1433.2,20.482
2015,191,1553,10,12.81,1573.9,1432.4,20.505
2015,191,1553,12,12.8,1574.7,1432.4,20.482
2015,191,1553,14,12.81,1569.8,1427.6,20.47
2015,191,1553,16,12.8,1571.2,1429.2,20.482
2015,191,1553,18,12.81,1573.4,1431.6,20.493
2015,191,1553,20,12.8,1573.4,1431.6,20.493
2015,191,1553,22,12.8,1573.8,1431.6,20.482
2015,191,1553,24,12.8,1573.3,1430.8,20.47
2015,191,1553,26,12.8,1573.3,1430.8,20.47
2015,191,1553,28,12.8,1572.1,1430,20.482
2015,191,1553,30,12.8,1572.5,1430,20.47
2015,191,1553,32,12.8,1565.9,1424.4,20.482
2015,191,1553,34,12.8,1565.9,1424.4,20.482
2015,191,1553,36,12.8,1572.1,1430,20.482
2015,191,1553,38,12.81,1571.6,1429.2,20.47
2015,191,1553,40,12.81,1571.2,1429.2,20.482
2015,191,1553,42,12.8,1571.2,1429.2,20.482
2015,191,1553,44,12.8,1571.2,1429.2,20.482
2015,191,1553,46,12.8,1571.6,1429.2,20.47
2015,191,1553,48,12.8,1571.2,1429.2,20.482
